#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-MAC>
621587819, 0.0, 1.452, 1.055, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621588334, 0.0, 1.511, 0.965, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621588842, 0.0, 2.067, 0.803, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621589350, 0.0, 1.774, 0.683, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621589865, 0.0, 1.423, 0.949, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621590376, 0.0, 2.009, 0.791, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621590880, 0.0, 1.804, 0.821, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621591391, 0.0, 1.892, 0.866, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621591903, 0.0, 1.687, 0.957, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621592414, 0.0, 1.804, 0.871, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621592923, 0.0, 1.833, 0.858, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621593434, 0.0, 1.716, 0.843, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621593946, 0.0, 1.833, 0.831, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621594458, 0.0, 1.833, 0.858, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621594970, 0.0, 1.892, 0.864, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621595482, 0.0, 1.833, 0.724, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621595993, 0.0, 1.892, 0.844, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621596503, 0.0, 1.833, 0.732, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621597014, 0.0, 1.862, 0.821, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621597526, 0.0, 1.892, 0.751, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621598035, 0.0, 1.804, 0.848, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621598547, 0.0, 1.745, 0.9, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621599060, 0.0, 1.804, 0.804, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621599578, 0.0, 1.804, 0.769, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621600068, 0.0, 1.774, 0.787, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621600598, 0.0, 1.862, 0.815, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621601106, 0.0, 1.892, 0.828, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621601619, 0.0, 1.862, 0.66, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621602132, 0.0, 1.774, 0.849, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621602646, 0.0, 1.804, 0.757, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621603149, 0.0, 1.833, 0.874, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621603663, 0.0, 1.892, 0.828, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621604176, 0.0, 1.745, 0.865, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621604687, 0.0, 1.774, 0.894, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621605199, 0.0, 1.862, 0.86, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621605711, 0.0, 1.833, 0.885, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621606222, 0.0, 1.804, 0.816, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621606733, 0.0, 1.804, 0.859, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621607246, 0.0, 1.774, 0.922, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621607756, 0.0, 1.804, 0.843, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621608268, 0.0, 1.774, 0.864, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621608779, 0.0, 1.921, 0.739, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621609292, 0.0, 1.804, 0.796, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621609803, 0.0, 1.804, 0.871, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621610316, 0.0, 1.804, 0.873, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621610825, 0.0, 1.833, 0.843, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621611338, 0.0, 1.716, 0.872, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621611849, 0.0, 1.862, 0.817, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621612358, 0.0, 1.804, 0.764, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621612868, 0.0, 1.804, 0.799, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621613381, 0.0, 1.862, 0.828, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621613892, 0.0, 1.628, 0.969, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621614404, 0.0, 1.774, 0.835, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621614915, 0.0, 1.804, 0.896, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621615426, 0.0, 1.804, 0.866, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621615936, 0.0, 1.745, 0.902, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621616448, 0.0, 1.862, 0.815, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621616960, 0.0, 1.892, 0.801, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621617467, 0.0, 1.804, 0.889, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621617978, 0.0, 1.804, 0.834, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621618490, 0.0, 1.774, 0.818, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621619003, 0.0, 1.804, 0.856, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621619515, 0.0, 1.804, 0.799, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621620025, 0.0, 1.774, 0.892, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621620539, 0.0, 1.804, 0.789, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621621048, 0.0, 1.804, 0.871, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621621562, 0.0, 1.804, 0.782, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621622074, 0.0, 1.804, 0.823, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621622582, 0.0, 1.833, 0.848, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621623091, 0.0, 1.745, 0.823, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621623602, 0.0, 1.774, 0.871, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621624114, 0.0, 1.862, 0.832, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621624626, 0.0, 1.921, 0.736, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621625139, 0.0, 1.774, 0.875, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621625648, 0.0, 1.892, 0.768, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621626160, 0.0, 1.745, 0.849, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621626671, 0.0, 1.833, 0.819, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621627181, 0.0, 1.804, 0.818, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621627691, 0.0, 1.833, 0.855, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621628196, 0.0, 1.774, 0.751, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621628713, 0.0, 1.804, 0.82, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621629223, 0.0, 1.921, 0.753, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621629736, 0.0, 1.804, 0.854, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621630248, 0.0, 1.833, 0.828, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621630758, 0.0, 1.745, 0.81, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621631268, 0.0, 1.862, 0.751, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621631781, 0.0, 1.833, 0.784, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621632292, 0.0, 1.862, 0.842, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621632803, 0.0, 1.745, 0.825, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621633313, 0.0, 1.745, 0.874, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621633825, 0.0, 1.833, 0.834, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621634338, 0.0, 1.804, 0.873, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621634850, 0.0, 1.862, 0.854, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621635361, 0.0, 1.833, 0.821, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621635874, 0.0, 1.833, 0.855, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621636385, 0.0, 1.745, 0.902, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621636897, 0.0, 1.745, 0.889, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621637406, 0.0, 1.745, 0.88, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621637918, 0.0, 1.833, 0.841, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621638428, 0.0, 1.774, 0.862, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621638939, 0.0, 1.774, 0.835, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621639453, 0.0, 1.862, 0.792, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621639953, 0.0, 1.921, 0.75, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
