#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-MAC>
620288987, 0.0, 7.337, 0.939, 7, 8, -73, 2, cc:f4:11:4b:fb:1b
620289494, 0.0, 7.327, 0.189, 7, 8, -73, 2, cc:f4:11:4b:fb:1b
620289986, 0.0, 7.259, 1.399, 7, 8, -75, 2, cc:f4:11:4b:fb:1b
620290516, 0.0, 7.376, 1.676, 7, 8, -73, 2, cc:f4:11:4b:fb:1b
620291024, 0.0, 7.22, 1.232, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
620291537, 0.0, 6.771, 0.342, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620292046, 0.0, 7.22, 1.142, 7, 8, -75, 2, cc:f4:11:4b:fb:1b
620292551, 0.0, 7.298, 1.294, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620293065, 0.0, 7.22, 1.171, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620293576, 0.0, 7.259, 1.044, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620294085, 0.0, 7.259, 1.144, 7, 8, -73, 2, cc:f4:11:4b:fb:1b
620294598, 0.0, 7.298, 1.223, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620295097, 0.0, 7.22, 1.316, 7, 8, -73, 2, cc:f4:11:4b:fb:1b
620295621, 0.0, 7.259, 1.329, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620296132, 0.0, 7.259, 1.256, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620296642, 0.0, 7.337, 1.186, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620297156, 0.0, 7.22, 1.344, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620297664, 0.0, 7.337, 1.286, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620298173, 0.0, 7.259, 1.281, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620298688, 0.0, 7.298, 1.233, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620299200, 0.0, 7.298, 1.321, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620299712, 0.0, 7.22, 1.216, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620300220, 0.0, 7.337, 1.204, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620300735, 0.0, 7.337, 1.243, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620301247, 0.0, 7.337, 1.26, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620301758, 0.0, 7.22, 1.319, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620302270, 0.0, 7.298, 1.249, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620302776, 0.0, 7.337, 1.275, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620303284, 0.0, 7.181, 1.319, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620303803, 0.0, 7.337, 1.273, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620304317, 0.0, 7.22, 1.321, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620304825, 0.0, 7.259, 1.284, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620305336, 0.0, 7.298, 1.291, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620305851, 0.0, 7.259, 1.297, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620306363, 0.0, 7.337, 1.219, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620306874, 0.0, 7.22, 1.316, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620307389, 0.0, 7.298, 1.208, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620307894, 0.0, 7.376, 1.155, 7, 8, -73, 2, cc:f4:11:4b:fb:1b
620308410, 0.0, 6.946, 1.477, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620308915, 0.0, 7.181, 1.191, 7, 8, -75, 2, cc:f4:11:4b:fb:1b
620309431, 0.0, 7.337, 1.172, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620309942, 0.0, 7.298, 1.207, 7, 8, -75, 2, cc:f4:11:4b:fb:1b
620310451, 0.0, 7.298, 1.147, 7, 8, -75, 2, cc:f4:11:4b:fb:1b
620310964, 0.0, 7.337, 1.147, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620311478, 0.0, 7.298, 1.121, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620311990, 0.0, 7.376, 1.097, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620312502, 0.0, 7.337, 0.98, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620313009, 0.0, 7.259, 1.182, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620313526, 0.0, 7.337, 1.098, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620314036, 0.0, 7.259, 1.152, 7, 8, -75, 2, cc:f4:11:4b:fb:1b
620314549, 0.0, 7.22, 1.08, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620315060, 0.0, 7.259, 1.116, 7, 8, -75, 2, cc:f4:11:4b:fb:1b
620315568, 0.0, 7.22, 1.185, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620316084, 0.0, 7.415, 1.135, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620316598, 0.0, 7.259, 1.138, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620317108, 0.0, 7.22, 1.204, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620317620, 0.0, 7.259, 1.169, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620318128, 0.0, 7.259, 1.196, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620318645, 0.0, 7.259, 1.182, 7, 8, -73, 2, cc:f4:11:4b:fb:1b
620319156, 0.0, 7.259, 1.13, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620319655, 0.0, 7.141, 1.24, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620320175, 0.0, 7.22, 1.217, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620320684, 0.0, 7.298, 1.163, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620321201, 0.0, 7.22, 1.254, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620321711, 0.0, 7.259, 1.176, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620322224, 0.0, 7.298, 1.17, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620322733, 0.0, 7.337, 1.19, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620323241, 0.0, 7.22, 1.156, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620323757, 0.0, 7.259, 1.18, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620324267, 0.0, 7.22, 1.214, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620324778, 0.0, 7.298, 1.182, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620325291, 0.0, 7.063, 1.338, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620325799, 0.0, 7.298, 1.207, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620326313, 0.0, 7.259, 1.195, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620326825, 0.0, 7.22, 1.202, 7, 8, -75, 2, cc:f4:11:4b:fb:1b
620327338, 0.0, 7.259, 1.19, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620327849, 0.0, 7.22, 0.844, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620328357, 0.0, 7.298, 1.216, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
