#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-MAC>
620001279, 0.0, 7.454, 1.29, 7, 8, -75, 2, cc:f4:11:4b:fb:1b
620001784, 0.0, 7.532, 1.191, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620002294, 0.0, 7.337, 1.129, 7, 8, -76, 2, cc:f4:11:4b:fb:1b
620002803, 0.0, 7.337, 1.386, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620003314, 0.0, 7.337, 1.443, 7, 8, -73, 2, cc:f4:11:4b:fb:1b
620003822, 0.0, 7.21, 0.141, 7, 8, -73, 2, cc:f4:11:4b:fb:1b
620004336, 0.0, 7.454, 1.545, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620004847, 0.0, 7.063, 1.742, 7, 8, -75, 2, cc:f4:11:4b:fb:1b
620005360, 0.0, 4.921, 3.437, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620005871, 0.0, 7.298, 1.585, 7, 8, -73, 2, cc:f4:11:4b:fb:1b
620006383, 0.0, 7.298, 1.518, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620006895, 0.0, 7.102, 1.551, 7, 8, -75, 2, cc:f4:11:4b:fb:1b
620007408, 0.0, 7.259, 1.516, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620007907, 0.0, 7.337, 1.369, 7, 8, -75, 2, cc:f4:11:4b:fb:1b
620008408, 0.0, 7.22, 1.512, 7, 8, -73, 2, cc:f4:11:4b:fb:1b
620008925, 0.0, 7.22, 1.113, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620009436, 0.0, 7.22, 1.449, 7, 8, -73, 2, cc:f4:11:4b:fb:1b
620009950, 0.0, 7.142, 1.529, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620010458, 0.0, 7.22, 1.481, 7, 8, -73, 2, cc:f4:11:4b:fb:1b
620010965, 0.0, 7.259, 1.575, 7, 8, -73, 2, cc:f4:11:4b:fb:1b
620011482, 0.0, 7.181, 1.538, 7, 8, -73, 2, cc:f4:11:4b:fb:1b
620011999, 0.0, 7.259, 1.418, 7, 8, -73, 2, cc:f4:11:4b:fb:1b
620012504, 0.0, 7.181, 1.552, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620013017, 0.0, 7.22, 1.521, 7, 8, -73, 2, cc:f4:11:4b:fb:1b
620013521, 0.0, 7.415, 1.424, 7, 8, -73, 2, cc:f4:11:4b:fb:1b
620014027, 0.0, 7.298, 1.481, 7, 8, -73, 2, cc:f4:11:4b:fb:1b
620014545, 0.0, 7.22, 1.577, 7, 8, -73, 2, cc:f4:11:4b:fb:1b
620015056, 0.0, 7.337, 1.461, 7, 8, -73, 2, cc:f4:11:4b:fb:1b
620015569, 0.0, 7.298, 1.541, 7, 8, -73, 2, cc:f4:11:4b:fb:1b
620016074, 0.0, 7.22, 1.52, 7, 8, -73, 2, cc:f4:11:4b:fb:1b
620016589, 0.0, 7.337, 1.46, 7, 8, -73, 2, cc:f4:11:4b:fb:1b
620017106, 0.0, 7.259, 1.495, 7, 8, -74, 2, cc:f4:11:4b:fb:1b
620017612, 0.0, 7.337, 1.523, 7, 8, -73, 2, cc:f4:11:4b:fb:1b
