#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-MAC>
620001279, 0.0, 1.521, 1.669, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620001784, 0.0, 1.716, 1.524, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
620002294, 0.0, 1.56, 2.065, 7, 8, -63, 0, b0:e4:d5:1a:85:5d
620002803, 0.0, 1.755, 1.225, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620003314, 0.0, 4.353, 0.165, 7, 8, -56, 0, b0:e4:d5:1a:85:5d
620003822, 0.0, 1.989, 1.146, 7, 8, -58, 0, b0:e4:d5:1a:85:5d
620004336, 0.0, 2.146, 1.138, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620004848, 0.0, 2.028, 1.191, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620005360, 0.0, 1.716, 1.328, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620005871, 0.0, 1.755, 1.198, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620006383, 0.0, 1.794, 1.171, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620006895, 0.0, 1.833, 1.178, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620007408, 0.0, 1.833, 1.194, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620007907, 0.0, 1.872, 1.172, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620008408, 0.0, 1.872, 1.196, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620008925, 0.0, 1.677, 1.29, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620009436, 0.0, 1.872, 1.21, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620009950, 0.0, 1.794, 1.228, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620010458, 0.0, 1.794, 1.231, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620010965, 0.0, 1.755, 1.283, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620011482, 0.0, 1.872, 1.188, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620011999, 0.0, 1.794, 1.238, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620012504, 0.0, 1.872, 1.19, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620013017, 0.0, 1.794, 1.241, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620013521, 0.0, 1.638, 1.284, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620014027, 0.0, 1.677, 1.286, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620014545, 0.0, 1.872, 1.25, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620015057, 0.0, 1.794, 1.249, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620015569, 0.0, 1.638, 1.298, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620016074, 0.0, 1.833, 1.209, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620016589, 0.0, 1.794, 1.214, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620017107, 0.0, 1.794, 1.181, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620017612, 0.0, 1.872, 1.172, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
620018123, 0.0, 1.755, 1.196, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620018625, 0.0, 1.794, 1.238, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620019145, 0.0, 1.755, 1.202, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620019652, 0.0, 1.638, 1.3, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620020165, 0.0, 1.638, 1.284, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
620020678, 0.0, 1.833, 1.207, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620021185, 0.0, 1.599, 1.295, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
620021701, 0.0, 1.599, 1.345, 7, 8, -59, 0, b0:e4:d5:1a:85:5d
620022211, 0.0, 1.794, 1.196, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
