#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-MAC>
621587819, 0.0, 7.923, 0.43, 7, 8, -72, 2, cc:f4:11:4b:fb:1b
621588334, 0.0, 7.962, 0.41, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621588842, 0.0, 7.728, 0.561, 7, 8, -72, 2, cc:f4:11:4b:fb:1b
621589350, 0.0, 7.962, 0.385, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621589865, 0.0, 7.923, 0.25, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621590376, 0.0, 7.962, 0.261, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621590880, 0.0, 7.962, 0.191, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621591391, 0.0, 7.962, 0.139, 7, 8, -72, 2, cc:f4:11:4b:fb:1b
621591903, 0.0, 8.04, 0.126, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621592414, 0.0, 7.923, 0.145, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621592923, 0.0, 8.04, 0.155, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621593434, 0.0, 7.923, 0.19, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621593946, 0.0, 7.884, 0.193, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621594458, 0.0, 7.923, 0.157, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621594970, 0.0, 8.001, 0.152, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621595482, 0.0, 7.962, 0.124, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621595993, 0.0, 7.923, 0.138, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621596503, 0.0, 7.962, 0.109, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621597014, 0.0, 7.962, 0.109, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621597526, 0.0, 8.04, 0.084, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
