#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-MAC>
621521019, 0.0, 4.864, 0.147, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621521524, 0.0, 4.903, 0.163, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621522030, 0.0, 4.972, 0.103, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621522546, 0.0, 4.786, 0.2, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621523059, 0.0, 4.825, 0.156, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621523566, 0.0, 4.943, 0.135, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621524078, 0.0, 4.864, 0.134, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621524588, 0.0, 4.903, 0.152, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621525099, 0.0, 4.786, 0.179, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621525605, 0.0, 4.825, 0.193, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621526119, 0.0, 4.786, 0.2, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621526629, 0.0, 4.864, 0.128, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621527136, 0.0, 4.825, 0.156, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621527648, 0.0, 4.903, 0.078, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621528159, 0.0, 4.903, 0.133, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621528669, 0.0, 4.825, 0.129, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621529181, 0.0, 4.825, 0.133, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621529692, 0.0, 4.825, 0.105, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621530203, 0.0, 4.864, 0.183, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621530713, 0.0, 4.825, 0.133, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621531225, 0.0, 4.786, 0.19, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621531735, 0.0, 4.825, 0.151, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621532246, 0.0, 4.825, 0.194, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621532756, 0.0, 4.786, 0.203, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621533270, 0.0, 4.864, 0.15, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621533781, 0.0, 4.786, 0.226, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621534291, 0.0, 4.825, 0.11, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621534802, 0.0, 4.903, 0.166, 7, 8, -63, 0, b0:e4:d5:1a:85:5d
621535314, 0.0, 4.864, 0.15, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621535826, 0.0, 4.708, 0.233, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621536338, 0.0, 4.786, 0.223, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621536849, 0.0, 4.864, 0.176, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621537360, 0.0, 4.786, 0.183, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621537870, 0.0, 4.786, 0.177, 7, 8, -63, 0, b0:e4:d5:1a:85:5d
621538383, 0.0, 4.786, 0.238, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621538893, 0.0, 4.864, 0.174, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621539402, 0.0, 4.864, 0.098, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621539916, 0.0, 4.864, 0.128, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621540423, 0.0, 4.825, 0.299, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621540937, 0.0, 4.864, 0.129, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621541446, 0.0, 4.786, 0.204, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
