#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-MAC>
621521019, 0.0, 7.923, 0.138, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621521524, 0.0, 7.884, 0.207, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621522030, 0.0, 7.962, 0.129, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621522546, 0.0, 7.923, 0.215, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621523059, 0.0, 7.845, 0.233, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621523566, 0.0, 8.001, 0.211, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621524078, 0.0, 7.962, 0.175, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621524588, 0.0, 7.923, 0.184, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621525098, 0.0, 7.962, 0.197, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621525605, 0.0, 8.001, 0.122, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621526119, 0.0, 7.923, 0.122, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621526629, 0.0, 7.962, 0.109, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621527136, 0.0, 7.884, 0.196, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621527648, 0.0, 7.923, 0.164, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621528159, 0.0, 7.845, 0.2, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621528669, 0.0, 7.962, 0.198, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621529181, 0.0, 7.884, 0.18, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621529692, 0.0, 8.001, 0.057, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621530203, 0.0, 7.923, 0.139, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621530713, 0.0, 7.884, 0.171, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621531225, 0.0, 7.728, 0.317, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621531734, 0.0, 7.884, 0.175, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621532246, 0.0, 7.962, 0.085, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621532756, 0.0, 7.806, 0.208, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621533270, 0.0, 7.884, 0.207, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621533780, 0.0, 7.962, 0.106, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621534290, 0.0, 7.962, 0.157, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621534802, 0.0, 7.923, 0.181, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621535314, 0.0, 7.923, 0.164, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621535826, 0.0, 7.962, 0.11, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621536338, 0.0, 7.304, 0.781, 7, 8, -69, 2, cc:f4:11:4b:fb:1b
621536849, 0.0, 7.884, 0.163, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621537360, 0.0, 7.767, 0.258, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621537870, 0.0, 7.923, 0.202, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621538382, 0.0, 7.923, 0.168, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621538893, 0.0, 7.923, 0.202, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621539402, 0.0, 7.884, 0.197, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621539916, 0.0, 7.962, 0.16, 7, 8, -69, 2, cc:f4:11:4b:fb:1b
621540423, 0.0, 8.001, 0.154, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621540937, 0.0, 7.845, 0.176, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621541445, 0.0, 7.962, 0.137, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621541950, 0.0, 7.806, 0.196, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621542466, 0.0, 7.884, 0.175, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621542977, 0.0, 7.845, 0.21, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621543490, 0.0, 7.923, 0.164, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621544001, 0.0, 7.962, 0.149, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621544513, 0.0, 7.845, 0.176, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621545027, 0.0, 7.884, 0.201, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621545541, 0.0, 7.923, 0.199, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621546051, 0.0, 8.001, 0.152, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621546565, 0.0, 7.962, 0.152, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621547074, 0.0, 7.923, 0.138, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621547585, 0.0, 7.845, 0.149, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
621548096, 0.0, 7.923, 0.185, 7, 8, -71, 2, cc:f4:11:4b:fb:1b
