#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-MAC>
621425092, 0.0, 1.95, 0.805, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621425605, 0.0, 1.862, 0.73, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621426114, 0.0, 1.833, 0.843, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621426617, 0.0, 1.892, 0.806, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621427132, 0.0, 1.862, 0.795, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621427641, 0.0, 1.804, 0.859, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621428146, 0.0, 1.98, 0.644, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621428660, 0.0, 1.892, 0.768, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621429165, 0.0, 1.921, 0.739, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621429680, 0.0, 1.774, 0.778, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621430188, 0.0, 1.833, 0.759, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621430699, 0.0, 1.892, 0.866, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621431207, 0.0, 1.98, 0.688, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621431713, 0.0, 1.892, 0.837, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621432227, 0.0, 1.921, 0.829, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621432740, 0.0, 1.862, 0.775, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621433249, 0.0, 1.745, 0.844, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621433759, 0.0, 2.009, 0.727, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621434262, 0.0, 1.804, 0.823, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621434776, 0.0, 1.862, 0.808, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621435284, 0.0, 1.833, 0.732, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621435794, 0.0, 1.921, 0.794, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621436302, 0.0, 1.804, 0.764, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621436805, 0.0, 1.833, 0.823, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621437320, 0.0, 1.774, 0.818, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621437830, 0.0, 1.833, 0.784, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621438341, 0.0, 1.892, 0.819, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621438850, 0.0, 1.833, 0.782, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621439355, 0.0, 1.95, 0.748, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621439869, 0.0, 1.863, 0.748, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621440381, 0.0, 1.833, 0.758, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621440886, 0.0, 1.862, 0.815, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621441400, 0.0, 1.833, 0.791, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621441907, 0.0, 1.862, 0.86, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621442423, 0.0, 1.921, 0.789, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621442933, 0.0, 1.862, 0.77, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621443446, 0.0, 1.921, 0.714, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621443956, 0.0, 1.921, 0.72, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621444467, 0.0, 1.862, 0.745, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621444977, 0.0, 1.921, 0.653, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621445489, 0.0, 1.892, 0.759, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621445999, 0.0, 1.95, 0.707, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621446511, 0.0, 1.892, 0.762, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621447023, 0.0, 1.862, 0.761, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
621447536, 0.0, 1.833, 0.843, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621448046, 0.0, 1.921, 0.801, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621448557, 0.0, 1.862, 0.708, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621449065, 0.0, 1.833, 0.86, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621449576, 0.0, 1.892, 0.76, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621450088, 0.0, 1.862, 0.77, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621450600, 0.0, 1.804, 0.829, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621451112, 0.0, 1.892, 0.713, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621451624, 0.0, 1.921, 0.782, 7, 8, -56, 2, b0:e4:d5:01:eb:5d
621452135, 0.0, 1.863, 0.784, 7, 8, -57, 2, b0:e4:d5:01:eb:5d
