#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-MAC>
621587819, 0.0, 3.825, 0.2, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
621588334, 0.0, 3.825, 0.193, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621588842, 0.0, 3.903, 0.174, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621589351, 0.0, 3.786, 0.243, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621589865, 0.0, 3.747, 0.153, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621590376, 0.0, 3.864, 0.175, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621590880, 0.0, 3.747, 0.193, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621591392, 0.0, 3.825, 0.117, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621591903, 0.0, 3.786, 0.147, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621592414, 0.0, 3.747, 0.165, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621592923, 0.0, 3.786, 0.207, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621593434, 0.0, 3.786, 0.212, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621593946, 0.0, 3.903, 0.123, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621594458, 0.0, 3.825, 0.133, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621594970, 0.0, 3.864, 0.165, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621595482, 0.0, 3.747, 0.163, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621595993, 0.0, 3.864, 0.16, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621596503, 0.0, 3.864, 0.137, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621597014, 0.0, 3.864, 0.164, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621597526, 0.0, 3.786, 0.151, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621598036, 0.0, 3.786, 0.223, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621598547, 0.0, 3.786, 0.151, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621599060, 0.0, 3.825, 0.133, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621599578, 0.0, 3.864, 0.183, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621600068, 0.0, 3.982, 0.081, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621600598, 0.0, 3.864, 0.076, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621601106, 0.0, 3.786, 0.151, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621601619, 0.0, 3.747, 0.213, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621602132, 0.0, 3.825, 0.216, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621602646, 0.0, 3.708, 0.225, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621603149, 0.0, 3.747, 0.238, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621603663, 0.0, 3.747, 0.163, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621604176, 0.0, 3.864, 0.136, 7, 8, -60, 0, b0:e4:d5:1a:85:5d
621604687, 0.0, 3.825, 0.224, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621605199, 0.0, 3.747, 0.163, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621605711, 0.0, 3.825, 0.146, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621606222, 0.0, 3.825, 0.195, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621606733, 0.0, 3.864, 0.094, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621607246, 0.0, 3.786, 0.212, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621607757, 0.0, 3.864, 0.091, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621608268, 0.0, 3.864, 0.188, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621608779, 0.0, 3.864, 0.118, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621609292, 0.0, 3.864, 0.118, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621609804, 0.0, 3.864, 0.105, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621610316, 0.0, 3.825, 0.16, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621610826, 0.0, 3.903, 0.177, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621611338, 0.0, 3.864, 0.156, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621611849, 0.0, 3.786, 0.171, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621612358, 0.0, 3.747, 0.175, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621612868, 0.0, 3.786, 0.217, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621613381, 0.0, 3.786, 0.193, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621613892, 0.0, 3.864, 0.118, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621614405, 0.0, 3.903, 0.118, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621614915, 0.0, 3.747, 0.175, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621615426, 0.0, 3.864, 0.177, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621615936, 0.0, 3.903, 0.133, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621616448, 0.0, 3.786, 0.123, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621616960, 0.0, 3.747, 0.193, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621617467, 0.0, 3.786, 0.257, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621617978, 0.0, 3.864, 0.135, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621618490, 0.0, 3.747, 0.164, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621619003, 0.0, 3.825, 0.142, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621619515, 0.0, 3.747, 0.186, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621620025, 0.0, 3.786, 0.16, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621620539, 0.0, 3.864, 0.085, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621621048, 0.0, 3.786, 0.182, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621621562, 0.0, 3.786, 0.159, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621622074, 0.0, 3.786, 0.236, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621622582, 0.0, 3.864, 0.128, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621623091, 0.0, 3.747, 0.187, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621623602, 0.0, 3.786, 0.18, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621624114, 0.0, 3.825, 0.197, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621624626, 0.0, 3.864, 0.128, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621625139, 0.0, 3.825, 0.117, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621625648, 0.0, 3.786, 0.159, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621626160, 0.0, 3.747, 0.193, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621626671, 0.0, 3.396, 0.41, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621627181, 0.0, 3.825, 0.138, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621627691, 0.0, 3.747, 0.193, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621628196, 0.0, 3.747, 0.2, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621628713, 0.0, 3.825, 0.138, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621629223, 0.0, 3.864, 0.117, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621629736, 0.0, 3.63, 0.286, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621630248, 0.0, 3.747, 0.175, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621630758, 0.0, 3.825, 0.11, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621631268, 0.0, 3.786, 0.203, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621631781, 0.0, 3.864, 0.133, 7, 8, -63, 0, b0:e4:d5:1a:85:5d
621632292, 0.0, 3.943, 0.091, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621632803, 0.0, 3.903, 0.165, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621633313, 0.0, 3.825, 0.193, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621633825, 0.0, 3.747, 0.209, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621634338, 0.0, 3.903, 0.15, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621634850, 0.0, 3.982, 0.091, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621635361, 0.0, 3.903, 0.14, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621635874, 0.0, 3.943, 0.1, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621636385, 0.0, 3.786, 0.222, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621636897, 0.0, 3.825, 0.167, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621637406, 0.0, 3.864, 0.177, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621637918, 0.0, 3.747, 0.171, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621638428, 0.0, 3.864, 0.177, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621638939, 0.0, 3.864, 0.117, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621639453, 0.0, 3.825, 0.16, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621639953, 0.0, 3.825, 0.146, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621640471, 0.0, 3.747, 0.198, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621640985, 0.0, 3.786, 0.159, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621641494, 0.0, 3.864, 0.166, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621642008, 0.0, 3.903, 0.141, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621642520, 0.0, 3.786, 0.195, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621643031, 0.0, 3.825, 0.231, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621643543, 0.0, 3.786, 0.203, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621644050, 0.0, 3.825, 0.143, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621644568, 0.0, 3.825, 0.186, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621645079, 0.0, 3.786, 0.203, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621645592, 0.0, 3.825, 0.142, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621646099, 0.0, 3.786, 0.18, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621646615, 0.0, 3.864, 0.15, 7, 8, -61, 0, b0:e4:d5:1a:85:5d
621647122, 0.0, 3.864, 0.129, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
621647630, 0.0, 3.903, 0.104, 7, 8, -62, 0, b0:e4:d5:1a:85:5d
